PolicyNumber,CustomerId,DateOfLoss,ClaimReceivedDate,ClaimCause,TotalPaidToDate,Deductible,County,State,EquipmentYear,PolicyEffectiveDate
P-4558-2020,1918,2020-05-09,2020-05-11,Wind-Irr,8857.48,1000,Gove,KS,1997,2020-04-05
P-1736-2020,265,2020-05-09,2020-05-19,Lightning-Irr,11909.55,1000,Rice,MN,2011,2019-06-09
P-3789-2020,2319,2020-05-08,2020-05-08,Freezing-Irr,4948.25,1000,Hamilton,NE,0,2019-06-24
P-4485-2020,2019,2020-05-07,2020-05-08,Wind-Irr,14197.61,1000,Harvey,KS,1999,2019-08-16
P-3965-2020,3194,2020-05-07,2020-05-12,Wind-Irr,29600,1000,Foard,TX,0,2019-05-23
P-1914-2020,3707,2020-05-07,2020-05-13,Theft-Irr,15141.5,1000,Clay,NE,0,2020-04-01
P-2612-2020,1545,2020-05-07,2020-05-13,Wind-Irr,4000,1000,Terry,TX,1993,2020-03-15
P-5115-2020,725,2020-05-06,2020-06-12,M&E-Irr,7197.03,1000,Castro,TX,1999,2020-02-28
P-739-2020,2781,2020-05-05,2020-05-05,M&E-Irr,9213.6,1000,Lamb,TX,1984,2020-04-10
P-3711-2020,978,2020-05-05,2020-05-06,Collision-Irr,4650,1000,Franklin,NE,2002,2019-08-17
P-400-2020,2266,2020-05-05,2020-05-06,Wind-Irr,9656.2,1000,Gaines,TX,1995,2019-05-17
P-3739-2020,4161,2020-05-04,2020-05-05,Wind-Irr,181000,1000,Lake,TN,2008,2019-05-23
P-2882-2020,3375,2020-05-04,2020-05-05,Wind-Irr,33444.42,1000,Pemiscot,MO,2008,2019-11-20
P-1263-2020,2570,2020-05-04,2020-05-06,Lightning-Irr,26351.78,1000,Hall,NE,2015,2020-05-04
P-1209-2020,4024,2020-05-03,2020-05-04,Collision-Irr,3874.95,1000,Fillmore,NE,2014,2020-05-01
P-1464-2020,2819,2020-05-02,2020-05-04,M&E-Irr,4158.33,1000,Jefferson,NE,1981,2020-01-26
P-821-2020,2679,2020-05-02,2020-05-04,M&E-Irr,10473.13,2500,York,NE,2013,2019-06-05
P-1106-2020,1448,2020-05-02,2020-05-05,Collision-Irr,7351.43,1000,York,NE,2009,2020-03-10
P-2668-2020,2170,2020-05-01,2020-05-07,Wind-Irr,2597.17,1000,Keith,NE,2003,2019-07-30
P-261-2020,715,2020-05-01,2020-05-07,Collision-Irr,4980.35,1000,Gove,KS,2019,2020-04-13
P-2442-2020,344,2020-05-01,2020-05-14,Collision-Irr,4934.38,1000,Johnson,NE,2010,2020-01-13
P-3350-2020,1985,2020-04-30,2020-05-01,Wind-Irr,8838.83,1000,Sherman,KS,1992,2020-02-27
P-145-2020,4236,2020-04-30,2020-05-22,Collision-Irr,2608.65,2500,Fillmore,NE,2018,2020-01-19
P-517-2020,3348,2020-04-28,2020-05-06,Claim Denied,0,1000,Mitchell,KS,2017,2020-03-06
P-4806-2020,2885,2020-04-27,2020-04-29,Wind-Irr,5559.4,1000,Terry,TX,1996,2020-04-27
P-4160-2020,3772,2020-04-27,2020-04-28,M&E-Irr,6493.03,5000,Antelope,NE,1991,2019-05-26
P-1285-2020,4603,2020-04-27,2020-05-06,Collision-Irr,11170.47,1000,Hamilton,NE,2004,2019-05-09
P-2058-2020,5322,2020-04-27,2020-05-07,M&E-Irr,3358.67,1000,Phillips,CO,0,2019-06-27
P-3538-2020,2973,2020-04-27,2020-09-14,Collision-Irr,1301.45,1000,Adams,NE,1980,2020-02-21
P-2858-2020,1444,2020-04-25,2020-05-27,M&E-Irr,5169.85,1000,Burt,NE,2002,2019-06-12
P-1876-2020,3650,2020-04-24,2020-04-27,Wind-Irr,13730.53,1000,Terry,TX,1993,2020-03-02
P-3776-2020,1432,2020-04-24,2020-07-31,Lightning-Irr,3476.5,1000,York,NE,2011,2019-12-30
P-1921-2020,4708,2020-04-22,2020-04-22,Collapse-Irr,2899.3,1000,Lubbock,TX,1990,2020-02-28
P-2722-2020,960,2020-04-22,2020-05-01,Lightning-Irr,9945,1000,Crosby,TX,1998,2019-06-26
P-4871-2020,1252,2020-04-22,2020-06-15,Lightning-Irr,6780,2500,Sherman,TX,0,2020-01-05
P-3696-2020,3462,2020-04-22,2020-08-26,Collision-Irr,7720.2,1000,Burt,NE,2015,2020-07-07
P-3239-2020,1075,2020-04-21,2020-04-22,Collision-Irr,3079.84,1000,null,null,null,2020-04-04
P-5164-2020,4190,2020-04-21,2020-04-27,Collision-Irr,1012.75,1000,Dawson,NE,1978,2020-04-03
P-3979-2020,2944,2020-04-21,2020-04-27,Collision-Irr,2000,1000,Floyd,TX,2005,2019-12-22
P-1349-2020,4769,2020-04-21,2020-04-30,Collapse-Irr,3876.96,1000,Gray,KS,2010,2019-05-30
P-4825-2020,5156,2020-04-21,2020-05-08,Collision-Irr,1215.2,1000,Fillmore,NE,2001,2019-05-22
P-3366-2020,3244,2020-04-20,2020-04-23,Animal-Irr,3467,1000,Webster,NE,2002,2019-05-05
P-4872-2020,1261,2020-04-20,2020-04-27,Collapse-Irr,23015,1000,Kay,OK,2008,2019-12-27
P-2469-2020,2352,2020-04-20,2020-06-09,Wind-Irr,21499.24,1000,Castro,TX,1981,2020-03-29
P-4054-2020,4913,2020-04-18,2020-04-20,Claim Withdrawn,0,1000,Harlan,NE,0,2019-10-16
P-2841-2020,742,2020-04-17,2020-04-23,Wind-Irr,5392.95,1000,Cochran,TX,1995,2020-04-17
P-1791-2020,4275,2020-04-17,2020-04-30,Wind-Irr,6086,1000,Hamilton,NE,1996,2019-06-22
P-1748-2020,5282,2020-04-16,2020-04-20,Wind-Irr,16336.08,1000,Hartley,TX,1994,2019-11-14
P-4441-2020,1586,2020-04-16,2020-04-24,Freezing-Irr,2250.51,1000,McPherson,KS,1987,2019-06-06
P-2785-2020,1108,2020-04-15,2020-04-17,Claim Withdrawn,0,1000,Sherman,TX,0,2019-11-02
P-2106-2020,5258,2020-04-15,2020-04-27,Theft-Irr,7483.64,1000,Harrison,IA,1981,2020-03-05
P-2569-2020,1018,2020-04-15,2020-04-28,Collision-Irr,8316,1000,Cheyenne,NE,1998,2019-05-01
P-2324-2020,228,2020-04-15,2020-05-18,M&E-Irr,9134.56,1000,Castro,TX,1988,2020-04-12
P-2571-2020,4482,2020-04-15,2020-12-15,Claim Denied,0,10000,Gray,KS,1983,2020-01-06
P-494-2020,3721,2020-04-14,2020-04-15,Wind-Irr,4333.02,1000,Hale,TX,1995,2020-03-16
P-984-2020,4392,2020-04-13,2020-04-22,Wind-Irr,1871.72,1000,Hamilton,NE,2019,2020-03-14
P-3420-2020,4595,2020-04-13,2020-05-29,Lightning-Irr,1440,1000,Hall,NE,0,2020-05-15
P-5562-2020,1585,2020-04-12,2020-04-13,Wind-Irr,44447.28,1000,Hamilton,NE,1997,2020-01-16
P-5329-2020,4148,2020-04-12,2020-04-13,Wind-Irr,191588.66,2500,Hamilton,NE,2017,2020-04-01
P-2041-2020,1799,2020-04-12,2020-04-13,Wind-Irr,42991.61,1000,York,NE,1992,2020-03-10
P-1285-2020,4603,2020-04-12,2020-04-13,Wind-Irr,37054.81,1000,Hamilton,NE,2004,2019-05-09
P-4328-2020,1377,2020-04-12,2020-04-13,Wind-Irr,47438.14,1000,York,NE,2012,2020-03-06
P-1821-2020,4296,2020-04-12,2020-04-13,Wind-Irr,2552.69,1000,Prowers,CO,2013,2020-03-24
P-3205-2020,3685,2020-04-12,2020-04-13,Wind-Irr,549,1000,Hamilton,NE,2012,2019-07-02
P-453-2020,3751,2020-04-12,2020-04-14,Wind-Irr,3587.7,1000,Hamilton,NE,2011,2020-03-03
P-4052-2020,1640,2020-04-12,2020-04-14,Wind-Irr,43565.35,1000,Clay,NE,2002,2020-03-16
P-3993-2020,1539,2020-04-12,2020-04-15,Wind-Irr,18210.05,1000,Hamilton,NE,1998,2019-12-01
P-5236-2020,3840,2020-04-12,2020-04-20,Wind-Irr,9123.5,1000,Hamilton,NE,2015,2019-11-15
P-4003-2020,1681,2020-04-12,2020-04-23,Wind-Irr,3818,1000,Hamilton,NE,0,2019-07-09
P-1057-2020,1671,2020-04-12,2020-05-04,Wind-Irr,4496.46,1000,Kearney,NE,1995,2020-01-12
P-1404-2020,2005,2020-04-12,2020-05-11,Wind-Irr,371.72,2500,Adams,NE,2013,2020-05-05
P-3251-2020,2158,2020-04-12,2020-06-10,Wind-Irr,6561.72,1000,Hamilton,NE,1977,2020-03-01
P-724-2020,3136,2020-04-12,2020-06-12,Wind-Irr,11709.87,1000,Clay,NE,2005,2020-03-16
P-2270-2020,2237,2020-04-11,2020-04-14,Wind-Irr,8873.03,1000,Adams,NE,2013,2019-07-07
P-1642-2020,2570,2020-04-11,2020-05-04,Wind-Irr,3604.89,1000,Adams,NE,2017,2019-07-07
P-145-2020,4236,2020-04-08,2020-05-04,Lightning-Irr,17082.6,2500,Fillmore,NE,2017,2020-01-19
P-3949-2020,1306,2020-04-08,2020-05-05,Lightning-Irr,1850,1000,Fillmore,NE,2006,2020-03-08
P-2125-2020,3839,2020-04-06,2020-05-11,Claim Denied,0,1000,Castro,TX,1991,2020-04-06
P-3444-2020,1867,2020-04-04,2020-04-06,Wind-Irr,12310.83,1000,Grant,KS,1994,2019-05-06
P-1960-2020,3326,2020-04-03,2020-04-06,M&E-Irr,8223.47,1000,Parmer,TX,2007,2019-07-22
P-2721-2020,3334,2020-04-02,2020-04-06,Collision-Irr,15335.6,1000,Cloud,KS,2018,2019-04-12
P-2989-2020,5225,2020-04-01,2020-04-02,M&E-Irr,4935.9,1000,Bailey,TX,0,2019-05-21
P-2073-2020,2394,2020-03-19,2020-03-24,Wind-Irr,60955.07,1000,York,NE,1990,2019-06-27
P-4806-2020,2885,2020-02-23,2020-02-26,Wind-Irr,10184.88,1000,Terry,TX,1997,2020-02-23
P-300-2020,179,2020-02-20,2020-03-10,Flood-Irr,4815.95,1000,Holt,NE,1993,2019-12-03
P-300-2020,179,2020-02-20,2020-03-12,Animal-Irr,5265,1000,Holt,NE,2009,2019-12-03
P-2602-2020,5236,2020-02-18,2020-02-18,Wind-Irr,162055.55,1000,Dyer,TN,2005,2019-03-31
P-1196-2020,2422,2020-02-18,2020-05-27,Lightning-Irr,4165,5000,Dallam,TX,2007,2019-05-30
P-2930-2020,84,2020-02-07,2020-02-07,M&E-Irr,6460,1000,Floyd,TX,1999,2019-12-16
P-4625-2020,3343,2020-02-03,2020-02-11,Wind-Irr,4274.2,1000,Lamb,TX,1994,2020-02-03
P-1529-2020,5216,2020-01-16,2020-01-27,Collision-Irr,5339,1000,Lamb,TX,1995,2020-01-16
P-2374-2019,1568,2019-12-22,2020-01-10,Lightning-Irr,6350,1000,Tattnall,GA,0,2019-09-07
P-2641-2019,13,2019-12-21,2019-12-21,M&E-Irr,13061.87,1000,Meade,KS,1985,2018-12-28
P-190-2019,2325,2019-12-13,2020-01-10,Lightning-Irr,4050,1000,Pulaski,GA,0,2020-01-05
P-2951-2019,431,2019-12-05,2019-12-06,Collision-Irr,7345.12,1000,Bent,CO,2017,2019-05-25
P-1079-2019,2429,2019-12-01,2019-12-12,Lightning-Irr,1522.03,1000,Gray,KS,0,2019-07-27
P-1773-2019,4050,2019-11-30,2020-02-04,Wind-Irr,76919.86,1000,Pawnee,KS,2007,2019-10-01
P-49-2019,2647,2019-11-26,2019-12-09,M&E-Irr,1941.08,1000,Dawson,NE,1995,2019-05-16
P-4978-2019,5176,2019-11-25,2019-12-09,Lightning-Irr,2901.19,1000,Antelope,NE,1998,2019-07-01
P-12-2019,3355,2019-11-18,2020-02-10,M&E-Irr,20005,1000,Wallace,KS,1987,2019-03-13
P-1103-2019,139,2019-11-17,null,M&E-Irr,27763.8,5000,Castro,TX,1999,2019-11-17
P-1227-2019,5115,2019-11-14,2019-11-15,M&E-Irr,14776.87,1000,Gage,NE,2009,2019-05-01
P-178-2019,1345,2019-11-10,2019-11-12,Collision-Irr,7305.19,1000,Parmer,TX,1986,2019-09-03
P-5448-2019,425,2019-11-07,2020-03-10,Lightning-Irr,15682.4,1000,Floyd,TX,2012,2020-01-04
P-3409-2019,3139,2019-11-04,2019-11-21,Theft-Irr,4875.17,1000,Shawnee,KS,2002,2019-04-22
P-3600-2019,2137,2019-11-01,2019-11-01,Claim Withdrawn,0,1000,Meade,KS,2004,2018-12-31
P-1842-2019,3420,2019-11-01,2019-11-04,Animal-Irr,14390.19,1000,Swift,MN,2012,2019-04-15
P-5573-2019,2349,2019-10-28,2019-10-28,M&E-Irr,33920.1,1000,Howard,NE,1979,2019-04-16
P-4112-2019,354,2019-10-28,2020-01-06,Lightning-Irr,3283.7,1000,York,NE,0,2019-03-25
P-1561-2019,5042,2019-10-27,2019-10-30,M&E-Irr,8080.3,1000,Swisher,TX,2001,2019-06-09
P-3949-2019,1306,2019-10-25,2019-10-25,Claim Withdrawn,0,1000,Clay,NE,2009,2019-03-08
P-4250-2019,2683,2019-10-22,2019-10-30,Collision-Irr,1693.4,1000,Saunders,NE,1997,2019-05-12
P-2369-2019,3061,2019-10-21,2019-10-25,M&E-Irr,9157.19,1000,Stanton,KS,0,2019-08-18
P-327-2019,3408,2019-10-21,2019-11-04,Lightning-Irr,4173.5,1000,Antelope,NE,1998,2019-03-27
P-1914-2019,3707,2019-10-21,2019-11-04,Wind-Irr,2506.88,1000,Clay,NE,0,2019-04-01
P-1821-2019,4296,2019-10-18,2019-10-22,Collision-Irr,13796.01,1000,Prowers,CO,2013,2019-03-24
P-5254-2019,5077,2019-10-15,2019-10-16,M&E-Irr,6937.03,1000,Castro,TX,2014,2019-02-20
P-720-2019,4602,2019-10-15,2020-01-16,Lightning-Irr,143.29,1000,Lamb,TX,1994,2019-12-17
P-1671-2019,913,2019-10-14,2019-10-15,Lightning-Irr,16520.1,1000,Lubbock,TX,0,2019-08-13
P-691-2019,663,2019-10-01,2019-11-08,Collapse-Irr,3770.28,1000,Hamilton,NE,2009,2019-05-15
P-808-2019,1408,2019-09-25,2019-09-25,Wind-Irr,40744.66,2500,Kiowa,KS,2007,2019-04-16
P-4875-2019,4254,2019-09-24,2019-10-02,Wind-Irr,4569,2500,Dakota,MN,0,2019-05-02
P-1165-2019,548,2019-09-24,2019-10-25,Lightning-Irr,1717.15,1000,Reno,KS,2018,2019-03-31
P-1736-2019,265,2019-09-24,2020-04-09,Lightning-Irr,5813.9,1000,Rice,MN,2011,2019-06-09
P-5115-2019,725,2019-09-23,2019-09-26,M&E-Irr,12268.86,1000,Castro,TX,1996,2019-02-28
P-3965-2019,3194,2019-09-23,2019-10-25,Lightning-Irr,1969.15,1000,Foard,TX,0,2019-05-23
P-844-2019,474,2019-09-22,2019-09-23,Wind-Irr,12341.96,1000,Dixon,NE,0,2019-05-05
P-4038-2019,1772,2019-09-21,2019-09-30,Wind-Irr,8694.73,5000,Haskell,KS,1993,2019-04-18
P-3678-2019,2168,2019-09-21,2019-10-24,Lightning-Irr,2602,1000,Custer,OK,2012,2019-03-23
P-3181-2019,1632,2019-09-20,2020-01-31,M&E-Irr,12244.25,1000,Dodge,NE,2005,2019-02-04
P-3950-2019,1057,2019-09-18,2019-09-18,Theft-Irr,287.5,1000,Lubbock,TX,1978,2019-02-26
P-4655-2019,172,2019-09-17,2019-09-19,Lightning-Irr,9337.24,2500,Logan,NE,2005,2018-12-14
P-1281-2019,1504,2019-09-16,2019-09-18,Lightning-Irr,9009.3,1000,Thayer,NE,2000,2018-10-15
P-1706-2019,1190,2019-09-15,2019-09-30,Wind-Irr,3612.03,1000,Boone,NE,1984,2019-04-25
P-3932-2019,3951,2019-09-12,2019-10-14,Lightning-Irr,2884.4,1000,Sherman,NE,2000,2019-02-09
P-3957-2019,4269,2019-09-11,2019-09-30,Hail-Irr,2881.75,2500,Phillips,CO,1991,2018-12-22
P-2610-2019,1687,2019-09-09,2019-09-09,Lightning-Irr,3872.55,1000,Sherman,TX,2011,2019-06-14
P-145-2019,4236,2019-09-07,2019-11-05,Lightning-Irr,17784.28,2500,Fillmore,NE,2010,2019-01-19
P-959-2019,4083,2019-09-06,2019-09-06,Collapse-Irr,63096.12,1000,Hodgeman,KS,1998,2019-06-15
P-1369-2019,4518,2019-09-06,2019-10-07,Lightning-Irr,1711.75,1000,Arthur,NE,1984,2019-02-18
P-2950-2019,2318,2019-09-02,2019-09-03,Wind-Irr,135230,2500,Swift,MN,2011,2019-09-01
P-438-2019,3485,2019-09-02,2019-09-03,Collapse-Irr,33162.67,2500,Scotts Bluff,NE,2009,2018-11-01
P-1757-2019,2644,2019-09-02,2019-09-04,M&E-Irr,32974.48,1000,Jones,TX,2002,2019-03-18
P-3216-2019,2776,2019-09-02,2019-10-10,Lightning-Irr,5129.75,1000,Lamb,TX,1995,2019-07-29
P-4167-2019,5209,2019-08-31,2019-09-03,Wind-Irr,16316.54,1000,Hale,TX,1995,2018-11-29
P-3943-2019,2671,2019-08-31,2019-09-04,Lightning-Irr,2317,2500,Antelope,NE,2013,2019-03-01
P-3382-2019,5299,2019-08-30,2019-09-04,Lightning-Irr,3006.63,5000,Yuma,CO,2002,2019-05-10
P-120-2019,3559,2019-08-29,2019-09-03,Wind-Irr,62479.33,1000,Graham,KS,1998,2019-05-21
P-2157-2019,130,2019-08-29,2019-09-05,Wind-Irr,63500,1000,Graham,KS,2007,2019-05-27
P-405-2019,5065,2019-08-29,2019-09-05,Wind-Irr,203000,1000,Graham,KS,1973,2019-05-22
P-4694-2019,2246,2019-08-29,2019-09-06,Wind-Irr,57567.9,5000,Graham,KS,2016,2019-04-08
P-3674-2019,2267,2019-08-29,2019-09-07,Wind-Irr,9702.88,1000,Graham,KS,2012,2019-06-15
P-2755-2019,4746,2019-08-29,2019-09-11,Wind-Irr,100708.2,1000,Graham,KS,2013,2019-06-08
P-2322-2019,3730,2019-08-29,2019-09-24,Lightning-Irr,1919.34,1000,Graham,KS,2013,2019-03-09
P-2860-2019,1832,2019-08-26,2019-10-21,Lightning-Irr,2107.35,1000,Adams,NE,2011,2019-03-06
P-4362-2019,4945,2019-08-24,2019-08-26,Claim Withdrawn,0,1000,Gosper,NE,2013,2019-08-02
P-1322-2019,5334,2019-08-24,2019-08-26,Lightning-Irr,5430,1000,Floyd,TX,2001,2019-08-20
P-198-2019,4359,2019-08-23,2019-08-23,Wind-Irr,5849.58,1000,Sherman,NE,2003,2019-08-04
P-1062-2019,2501,2019-08-23,2019-08-26,Wind-Irr,33217.03,2500,Adams,NE,2009,2019-02-01
P-1667-2019,1647,2019-08-23,2019-08-26,Wind-Irr,4210,1000,Adams,NE,1975,2019-02-01
P-21-2019,286,2019-08-23,2019-08-28,Lightning-Irr,2564.94,1000,Ochiltree,TX,2005,2019-04-07
P-5026-2019,2864,2019-08-23,2019-09-10,Lightning-Irr,2942.6,1000,Jewell,KS,2012,2019-05-27
P-724-2019,3136,2019-08-23,2019-11-13,Wind-Irr,28775.62,1000,Hall,NE,2006,2019-03-16
P-5233-2019,2369,2019-08-22,2019-08-26,M&E-Irr,41201.55,1000,Castro,TX,1989,2019-03-22
P-5062-2019,3813,2019-08-22,2019-09-25,Lightning-Irr,6537.5,1000,Decatur,KS,1995,2019-05-22
P-2340-2019,2024,2019-08-21,2019-08-21,Lightning-Irr,685.25,1000,Lincoln,NE,2004,2018-09-12
P-5307-2019,3182,2019-08-21,2019-08-22,Claim Withdrawn,0,2500,Phelps,NE,1983,2018-10-06
P-2785-2019,1108,2019-08-21,2019-08-23,Lightning-Irr,18782.55,1000,Sherman,TX,2004,2018-11-02
P-2058-2019,5322,2019-08-21,2019-09-04,Lightning-Irr,1222.03,1000,Phillips,CO,0,2019-06-27
P-215-2019,2090,2019-08-20,2019-08-27,Lightning-Irr,5468,1000,Floyd,TX,2005,2018-10-12
P-49-2019,2647,2019-08-20,2019-12-09,Lightning-Irr,2454.75,1000,Dawson,NE,1995,2019-05-16
P-4540-2019,2727,2019-08-19,2019-08-19,Wind-Irr,60000,1000,Hall,TX,2003,2019-04-08
P-2477-2019,1332,2019-08-19,2019-08-20,M&E-Irr,4516.06,1000,Pierce,NE,2000,2019-05-01
P-5500-2019,4740,2019-08-19,2019-08-20,Collision-Irr,7624.92,1000,Frontier,NE,2008,2019-03-23
P-472-2019,1159,2019-08-19,2019-08-23,Lightning-Irr,900.2,1000,Keith,NE,0,2019-07-29
P-17-2019,2635,2019-08-19,2019-08-23,M&E-Irr,4482.55,1000,Lamb,TX,1988,2019-06-01
P-4785-2019,2146,2019-08-19,2019-09-20,Lightning-Irr,598.09,1000,Furnas,NE,2008,2019-07-19
P-2131-2019,4128,2019-08-18,2019-08-22,Collision-Irr,28110,1000,Haskell,TX,2011,2019-03-07
P-1383-2019,2059,2019-08-17,2019-08-19,Claim Withdrawn,0,1000,Clay,SD,1977,2019-04-21
P-4236-2019,2224,2019-08-17,2019-08-19,Wind-Irr,61267,1000,Logan,CO,1999,2019-04-12
P-1059-2019,778,2019-08-17,2019-08-19,Wind-Irr,4621.77,5000,Logan,CO,2000,2019-08-17
P-4189-2019,1411,2019-08-16,2019-08-16,Claim Denied,0,5000,Franklin,NE,1976,2019-06-10
P-2340-2019,2024,2019-08-16,2019-08-21,Lightning-Irr,2060,1000,Lincoln,NE,0,2018-09-12
P-57-2019,4838,2019-08-16,2019-10-08,Lightning-Irr,17535.71,1000,Garden,NE,1978,2019-04-25
P-4962-2019,3272,2019-08-15,2019-08-28,M&E-Irr,35200,1000,Knox,TX,2003,2018-10-16
P-2427-2019,2403,2019-08-13,2019-08-13,Collision-Irr,8064.77,1000,Jenkins,GA,2018,2019-06-19
P-463-2019,2709,2019-08-13,2019-08-16,Hail-Irr,1127.6,1000,Deuel,NE,2013,2019-06-22
P-3203-2019,1811,2019-08-13,2019-08-21,Wind-Irr,39778.84,1000,Sheridan,KS,2006,2018-09-22
P-4888-2019,398,2019-08-13,2020-03-04,Claim Withdrawn,0,1000,Chase,NE,2016,2019-07-20
P-251-2019,1620,2019-08-13,2020-03-04,Claim Withdrawn,0,1000,Chase,NE,1996,2019-10-01
P-5331-2019,4521,2019-08-13,2020-03-04,Claim Withdrawn,0,1000,null,null,null,2019-09-01
P-2541-2019,4987,2019-08-12,2019-08-12,Collapse-Irr,36496.7,1000,Floyd,TX,1995,2019-03-01
P-2831-2019,2619,2019-08-12,2019-08-30,Collision-Irr,19223.54,1000,Crockett,TN,2011,2019-05-04
P-1709-2019,4924,2019-08-12,2020-01-17,Lightning-Irr,4227.25,1000,Hamilton,NE,2014,2019-04-10
P-2265-2019,882,2019-08-11,2019-08-12,Wind-Irr,33962.7,1000,Graham,KS,2018,2019-03-03
P-438-2019,3485,2019-08-11,2019-08-14,Lightning-Irr,3130.65,2500,Scotts Bluff,NE,2005,2018-11-01
P-623-2019,217,2019-08-11,2020-02-14,Wind-Irr,29593.38,5000,Rawlins,KS,2008,2019-05-14
P-2694-2019,5109,2019-08-10,2019-08-12,Freezing-Irr,15435.71,5000,York,NE,2013,2019-02-05
P-2993-2019,1354,2019-08-10,2019-08-14,Lightning-Irr,21727.44,1000,Johnson,NE,0,2019-01-24
P-163-2019,2804,2019-08-10,2019-08-15,Collision-Irr,17446.87,1000,Castro,TX,1994,2019-05-25
P-2881-2019,5249,2019-08-09,2019-08-09,Wind-Irr,30000,1000,Meade,SD,2007,2019-03-05
P-3826-2019,4113,2019-08-09,2019-08-12,Flood-Irr,3502.65,1000,Richardson,NE,2008,2019-04-26
P-1420-2019,1750,2019-08-09,2019-08-13,Wind-Irr,126471.15,1000,Holt,NE,2003,2019-01-01
P-5115-2019,725,2019-08-09,2019-08-15,Lightning-Irr,7933.05,1000,Castro,TX,2015,2019-02-28
P-1358-2019,210,2019-08-08,2019-08-08,Collision-Irr,14045.15,1000,Frontier,NE,2006,2019-04-20
P-179-2019,2386,2019-08-08,2019-08-08,Collapse-Irr,5386,1000,Lincoln,NE,2003,2018-08-19
P-4547-2019,2388,2019-08-08,2019-08-09,Collapse-Irr,15280,1000,Colfax,NE,1982,2018-11-02
P-1917-2019,156,2019-08-08,2019-08-12,Lightning-Irr,9210,1000,Blaine,OK,0,2019-02-20
P-657-2019,1749,2019-08-08,2019-08-12,Lightning-Irr,3342.88,2500,Weld,CO,1999,2018-10-05
P-678-2019,3891,2019-08-08,2019-08-14,M&E-Irr,21612.18,1000,Leflore,MS,1999,2019-02-24
P-2340-2019,2024,2019-08-08,2019-08-20,Lightning-Irr,1899.28,1000,Lincoln,NE,2002,2018-09-12
P-1670-2019,4784,2019-08-08,2019-08-22,M&E-Irr,1508,1000,Reno,KS,2002,2019-06-30
P-1427-2019,1617,2019-08-08,2019-10-02,Collision-Irr,3857.49,1000,Franklin,NE,2019,2019-05-27
P-4617-2019,1659,2019-08-07,2019-08-07,Wind-Irr,6246.26,1000,Howard,NE,1989,2019-08-07
P-942-2019,1328,2019-08-07,2019-08-07,Wind-Irr,45766.89,1000,Hall,NE,2018,2019-03-01
P-2706-2019,2603,2019-08-07,2019-08-07,Wind-Irr,49321.75,1000,Adams,NE,2010,2019-02-01
P-2515-2019,568,2019-08-07,2019-08-15,Lightning-Irr,7640.73,1000,York,NE,2012,2019-02-27
P-1211-2019,3556,2019-08-07,2019-08-20,M&E-Irr,6432.15,1000,York,NE,2013,2019-01-03
P-1088-2019,6,2019-08-07,2019-09-04,Lightning-Irr,6302.53,2500,Sherman,NE,2016,2019-03-08
P-3205-2019,3685,2019-08-07,2019-09-05,Lightning-Irr,12856,1000,Hamilton,NE,2013,2019-07-02
P-1955-2019,764,2019-08-07,2019-10-08,Lightning-Irr,1999,1000,Lamb,TX,0,2019-04-01
P-3216-2019,2776,2019-08-07,2019-10-08,Lightning-Irr,4931.25,1000,Lamb,TX,0,2019-07-29
P-5384-2019,3508,2019-08-06,2019-08-07,Wind-Irr,112180,1000,Holt,NE,1982,2018-09-28
P-214-2019,2843,2019-08-06,2019-08-07,Wind-Irr,64700,1000,Clark,KS,2005,2018-10-06
P-287-2019,703,2019-08-06,2019-08-07,M&E-Irr,4564.77,1000,Stanton,KS,1999,2019-05-29
P-4153-2019,3807,2019-08-06,2019-08-07,Wind-Irr,70000,1000,Campbell,SD,2012,2018-10-02
P-57-2019,4838,2019-08-06,2019-08-19,Hail-Irr,3585.46,1000,Garden,NE,1978,2019-04-25
P-4995-2019,674,2019-08-06,2019-09-11,Lightning-Irr,5582,1000,Dawson,NE,2015,2019-03-10
P-984-2019,4392,2019-08-05,2019-08-05,Collapse-Irr,51898.52,1000,Hamilton,NE,2001,2019-03-14
P-145-2019,4236,2019-08-05,2019-08-09,Lightning-Irr,1225,2500,Lincoln,NE,1981,2019-01-19
P-3787-2019,423,2019-08-04,2019-08-05,M&E-Irr,5979.1,1000,Dodge,NE,2009,2018-09-11
P-4359-2019,3923,2019-08-04,2019-08-21,M&E-Irr,2956.4,1000,Gage,NE,1997,2019-03-13
P-568-2019,4159,2019-08-03,2019-08-06,Wind-Irr,39333.38,1000,Lamb,TX,0,2019-03-24
P-514-2019,4325,2019-08-03,2019-08-08,Wind-Irr,76302.9,1000,Hale,TX,1993,2018-08-14
P-4925-2019,3846,2019-08-02,2019-08-08,Claim Denied,0,1000,Scotts Bluff,NE,2009,2018-08-23
P-3847-2019,704,2019-08-02,2019-09-16,Lightning-Irr,1552.9,1000,Holt,NE,2013,2019-01-19
P-4109-2019,57,2019-08-01,2019-08-01,M&E-Irr,21500,1000,Colfax,NE,2012,2019-02-03
P-3728-2019,5300,2019-08-01,2019-08-05,Collision-Irr,3870.8,1000,Lincoln,NE,1979,2018-10-15
P-1943-2019,3946,2019-08-01,2019-08-09,Lightning-Irr,8128.75,1000,Boone,NE,1974,2019-01-14
P-900-2019,796,2019-08-01,2019-08-12,Lightning-Irr,2567.56,5000,Red Willow,NE,1992,2019-03-31
